UI_20150317_000001	{@st41b}Выучить атрибуты{nl}у Мастера своего класса.{/}	{@st41b}각 클래스 마스터들에게서{nl}특성을 배울 수 있습니다.{/}				
UI_20150317_000002	{@st43}Список атрибутов{/}	{@st43}특성 목록{/}				
UI_20150317_000003	{@st59}Закрыть список атрибутов{/}	{@st59}특성리스트를 닫습니다{/}				
UI_20150317_000004	{@st43}Выучить атрибуты{/}	{@st43}특성 배우기{/}				
UI_20150317_000005	{@st59}Закрыть окно атрибутов{/}	{@st59}특성창을 닫습니다{/}				
UI_20150317_000006	{@st41b}Серебра{/}	{@st41b}소지금{/}				
UI_20150317_000007	Мои достижения	나의 업적				
UI_20150317_000008	Рейтинг серверов	서버 랭킹				
UI_20150317_000009	{@st59}Доступно внезапное событие.{/}	{@st59}돌발이벤트가 있습니다{/}				
UI_20150317_000010	{@st59}Есть новое сообщение Справки{/}	{@st59}도움말이 있습니다{/}				
UI_20150317_000011	{@st41}Вы уверены, что хотите создать этот тип стрел?{/}	{@st41}어떤 종류의 화살을 제작하겠습니까?{/}				
UI_20150317_000012	{@st41b}Только{/}	{@st41b}한번만{/}				
UI_20150317_000013	{@st41b}Все{/}	{@st41b}모두{/}				
UI_20150317_000014	{@St41b}Пауза{/}	{@st41b}중단{/}				
UI_20150317_000015	{@St43}Журнал приключений{/}	{@st43}모험일지{/}				
UI_20150317_000016	{@St43}Аукцион{/}	{@st43}경매장{/}				
UI_20150317_000017	{@St59}Закрыть Почтовый ящик{/}	{@st59}경매장을 닫습니다{/}				
UI_20150317_000018	{@St41b}Товар продан : ×%s, Товар не продан : ×%s{/}	{@st41b}낙찰물품 : %s개,  유찰물품 : %s개{/}				
UI_20150317_000019	{@St43}{s22}Предмет Аукциона{/}	{@st43}{s22}아이템 경매{/}				
UI_20150317_000020	{@st59}Закрыть Журнал Квестов{/}	{@st59}퀘스트 정보를 닫습니다{/}				
UI_20150317_000021	Полезный	아베일레스트				
UI_20150317_000022	{@St41b}Оставшееся время	{@st41b}남은 시간				
UI_20150317_000023	3 часа 16 минут	3시간 16분				
UI_20150317_000024	{@St41b}Начальная цена	{@st41b}시작가				
UI_20150317_000025	{@St41b}Ставки	{@st41b}입찰수				
UI_20150317_000026	{@St41b}Текущая цена	{@st41b}현재가				
UI_20150317_000027	{@St41b}Текущая Ставка	{@st41b}입찰금				
UI_20150317_000028	{@St41b}Минимальная цена ставки {@st57}%s{@st41b}серебра{/}	{@st41b}최소 {@st57}%s {@st41b}실버부터 입찰가능{/}				
UI_20150317_000029	{@St41b}Предложить цену{/}	{@st41b}입찰{/}				
UI_20150317_000030	{@St43b}Купить сейчас!{nl}{img icon_item_silver 20 20}{@st57}%s{/}	{@st43b}바로 구매!{nl}{img icon_item_silver 20 20}{@st57}%s{/}				
UI_20150317_000031	{@St44}Настройки разрешений{/}	{@st44}권한설정{/}				
UI_20150317_000032	{@St45}Имя: %s{/}	{@st45}이름:%s{/}				
UI_20150317_000033	{@St55}Групповой склад{/}	{@st45}파티 창고{/}				
UI_20150317_000034	{@St49}Ничего	{@st49}없음				
UI_20150317_000035	{@St49}Магазин	{@st49}넣기				
UI_20150317_000036	{@St49}Получить	{@st49}가져오기				
UI_20150317_000037	{@St45}Обзор{/}	{@st45}설문{/}				
UI_20150317_000038	{@St49}Создать	{@st49}작성				
UI_20150317_000039	{@St49}Удалить	{@st49}삭제				
UI_20150317_000040	{@St44}Сохранить{/}	{@st44}저장{/}				
UI_20150317_000041	{@St44}Отмена{/}	{@st44}취소{/}				
UI_20150317_000042	{@St43}{s22}Парикмахерская{/}	{@st43}{s22}미용실{/}				
UI_20150317_000043	{@st59}Предыдущая прическа{/}	{@st59}이전 머리{/}				
UI_20150317_000044	{@St59}Следующая прическа{/}	{@st59}다음 머리{/}				
UI_20150317_000045	{@st41b} Изменить {s18} (Требуется 100 ТР) {/}	{@st41b}변경{s18}(NXP 100 필요){/}				
UI_20150317_000046	{@St59}Изменить на выбранную прическу.{/}	{@st59}선택한 헤어로 변경합니다.{/}				
UI_20150317_000047	{@St41}Отмена	{@st41}해약				
UI_20150317_000048	{@st43}Черный рынок{/}	{@st43}블랙 마켓{/}				
UI_20150317_000049	Название книги	책이름				
UI_20150317_000050	{@St59}Прекратить чтение{/}	{@st59}독서를 그만둡니다{/}				
UI_20150317_000051	{@st59}Предыдущая страница{/}	{@st59}이전 페이지{/}				
UI_20150317_000052	{@st59}Следующая страница{/}	{@st59}다음페이지{/}				
UI_20150317_000053	{@st47}%s появился!	{@st47}%s 등장!!				
UI_20150317_000054	{@st43}Очки{/}	{@st43}스코어{/}				
UI_20150317_000055	Наносимый урон	받은 데미지				
UI_20150317_000056	Технический бонус	테크닉 보너스				
UI_20150317_000057	Бонус уклонения	회피 보너스				
UI_20150317_000058	Сбросить таймер	클리어 시간				
UI_20150317_000059	Итоговый счет	총 점수				
UI_20150317_000060	{@st42}Затраченное время	{@st42}경과 시간				
UI_20150317_000061	10 минут	10분				
UI_20150317_000062	10 секунд	10초				
UI_20150317_000063	{@st44}Завершить	{@st44}마감하기				
UI_20150317_000064	{@st59}Закрыть торговый автомат{/}	{@st59}자판기를 닫습니다{/}				
UI_20150317_000065	{@st43}Торговый автомат заклинаний	{@st43}버프 자판기				
UI_20150317_000066	Название торгового автомата	자판기 이름				
UI_20150317_000067	{@st43}Регистрация	{@st43}등록				
UI_20150317_000068	{@st43}Отмена	{@st43}취소				
UI_20150317_000069	Торговый автомат заклинаний	버프 자판기				
UI_20150317_000070	{@st59}Закрыть торговый автомат заклинаний.	{@st59}버프 자판기를 닫습니다.				
UI_20150317_000071	{@st59}Торговый автомат заклинаний{nl} - Вы можете произвести оплату серебром для получения заклинаний от другого игрока.	{@st59}버프 자판기{nl} - 실버를 지불해 해당 플레이어에게 버프 기술을 시전받을 수 있습니다.				
UI_20150317_000072	Меню перевозки	마차메뉴				
UI_20150317_000073	{ol}{s22}Выгрузить{/}	{ol}{s22}내리기{/}				
UI_20150317_000074	Литье	캐스팅				
UI_20150317_000075	{@st43}Настройки игры{/}	{@st43}게임설정{/}				
